Event Identifier,Event Name,Event Record,First Date Year,First Date,Last Date,Venue Identifier,Venue Name,Suburb,State,Country,Latitude,Longitude,Primary Genre,Secondary Genre,Organisations,Subjects,Contributor Count,Resource Count,Works,,,
14926,Summer of the Seventeenth Doll,https://ausstage.edu.au/pages/event/14926,1958,19/5/1958,,3033,Gaiety Theatre,Dublin,O/S,Ireland,53.34024,-6.261846,Theatre - Spoken Word,Drama,"Carl Clopet Productions, Harold French Ltd",,9,0,Summer of the Seventeenth Doll,,,
14927,Summer of the Seventeenth Doll,https://ausstage.edu.au/pages/event/14927,1973,25/7/1973,11/8/1973,3034,Salisbury Playhouse (-1976),Salisbury,O/S,England,51.070442,-1.801596,Theatre - Spoken Word,Drama,The Salisbury Arts Theatre Ltd.,,12,0,Summer of the Seventeenth Doll,,,
14928,Summer of the Seventeenth Doll,https://ausstage.edu.au/pages/event/14928,1958,23/5/1958,,3035,Grand Theatre,Wolverhampton,O/S,England,52.586626,-2.1244,Theatre - Spoken Word,Drama,The Wolverhampton Repertory Company,,11,0,Summer of the Seventeenth Doll,,,
15017,Summer of the Seventeenth Doll,https://ausstage.edu.au/pages/event/15017,1958,31/3/1958,13/4/1958,3042,Nottingham Playhouse,Nottingham,O/S,England,52.953815,-1.156286,Theatre - Spoken Word,Drama,Nottingham Theatre Trust Ltd.,,11,1,Summer of the Seventeenth Doll,,,
15021,Summer of the Seventeenth Doll,https://ausstage.edu.au/pages/event/15021,1958,18/8/1958,31/8/1958,3043,Belgrade Theatre,Coventry,O/S,England,52.409855,-1.514092,Theatre - Spoken Word,Drama,"Belgrade Theatre Company, The Belgrade Theatre Trust (Coventry) Ltd.",,11,0,Summer of the Seventeenth Doll,,,
15028,Summer of the Seventeenth Doll,https://ausstage.edu.au/pages/event/15028,1959,7/5/1959,,11008,Grand Opera House (1914-1977),Wellington,O/S,New Zealand,-41.2917234,174.7776787,Theatre - Spoken Word,Drama,"The Australian Elizabethan Theatre Trust, J C Williamson Theatres Limited (1943-1976), The New Zealand Players Theatre Trust",,12,0,Summer of the Seventeenth Doll,,,
15033,A Breach in the Wall,https://ausstage.edu.au/pages/event/15033,1970,27/6/1970,11/7/1970,17321,The Marlowe Theatre (1951-1981),Canterbury,O/S,England,51.277894,1.079409,Theatre - Spoken Word,Drama,"The Marlowe Theatre Company, The Canterbury Theatre Trust",,12,0,A Breach in the Wall,,,
15037,Summer of the Seventeenth Doll,https://ausstage.edu.au/pages/event/15037,1958,22/1/1958,15/2/1958,3045,Coronet Theatre,New York,O/S,United States of America,40.761075,-73.985756,Theatre - Spoken Word,Drama,"The Australian Elizabethan Theatre Trust, The Playwrights' Company, The St. James Players, The Theatre Guild",,10,1,Summer of the Seventeenth Doll,,,
15111,The Piccadilly Bushman,https://ausstage.edu.au/pages/event/15111,1965,20/9/1965,9/10/1965,3050,Playhouse Theatre,Liverpool,O/S,England,53.406419,-2.982332,Theatre - Spoken Word,"Comedy, Drama, Satire","Liverpool Repertory Theatre, The Arts Council of Great Britain",Australian National Identity,14,1,The Piccadilly Bushman,,,
15203,Summer of the Seventeenth Doll,https://ausstage.edu.au/pages/event/15203,1959,27/5/1959,6/6/1959,3238,His Majesty's Theatre,Auckland,O/S,New Zealand,-36.847928,174.765134,Theatre - Spoken Word,Drama,"The Australian Elizabethan Theatre Trust, Auckland Festival Society Inc., J C Williamson Theatres Limited (1943-1976), The New Zealand Players Theatre Trust",,11,0,Summer of the Seventeenth Doll,,,
15206,Summer of the Seventeenth Doll,https://ausstage.edu.au/pages/event/15206,1959,24/7/1959,30/7/1959,3069,Arena Theatre,Wolverhampton,O/S,England,52.586991,-2.126686,Theatre - Spoken Word,Drama,Arena Theatre Company,,11,0,Summer of the Seventeenth Doll,,,
15209,Summer of the Seventeenth Doll,https://ausstage.edu.au/pages/event/15209,1962,7/4/1962,18/4/1962,3070,Carnegie Institute of Technology Theatre,Pittsburgh,O/S,United States of America,40.432633,-79.964923,Theatre - Spoken Word,Drama,Carnegie Institute of Technology,,13,0,Summer of the Seventeenth Doll,,,
15218,Summer of the Seventeenth Doll,https://ausstage.edu.au/pages/event/15218,1967,5/12/1967,16/12/1967,3073,Sheffield Playhouse,Sheffield,O/S,England,53.382905,-1.473688,Theatre - Spoken Word,Drama,The Sheffield Repertory Company Ltd,,12,0,Summer of the Seventeenth Doll,,,
15243,Summer of the Seventeenth Doll,https://ausstage.edu.au/pages/event/15243,1990,9/2/1990,3/3/1990,3078,Birmingham Repertory Theatre (1971-),Birmingham,O/S,England,52.479483,-1.90921,Theatre - Spoken Word,Drama,The Birmingham Repertory Company,,12,0,Summer of the Seventeenth Doll,,,
15253,Summer of the Seventeenth Doll,https://ausstage.edu.au/pages/event/15253,1968,20/2/1968,,3080,St. Marks Playhouse,New York,O/S,United States of America,40.728868,-73.987916,Theatre - Spoken Word,Drama,The Negro Ensemble Company,,12,0,Summer of the Seventeenth Doll,,,
15257,Summer of the Seventeenth Doll,https://ausstage.edu.au/pages/event/15257,1957,1957-04,,3082,Royal Lyceum Theatre,Edinburgh,O/S,Scotland,55.946856,-3.204413,Theatre - Spoken Word,Drama,"The Australian Elizabethan Theatre Trust, The St. James Players",,9,0,Summer of the Seventeenth Doll,,,
16826,The Little Hut,https://ausstage.edu.au/pages/event/16826,1956,31/3/1956,14/4/1956,3238,His Majesty's Theatre,Auckland,O/S,New Zealand,-36.847928,174.765134,Theatre - Spoken Word,Comedy,"The Garnet H Carroll Management, H. M. Tennent Ltd.",,10,0,,,,
16829,Both Ends Meet,https://ausstage.edu.au/pages/event/16829,1956,16/4/1956,,3238,His Majesty's Theatre,Auckland,O/S,New Zealand,-36.847928,174.765134,Theatre - Spoken Word,Comedy,The Garnet H Carroll Management,,7,0,,,,
17244,See How They Run,https://ausstage.edu.au/pages/event/17244,1952,26/2/1952,,3238,His Majesty's Theatre,Auckland,O/S,New Zealand,-36.847928,174.765134,Theatre - Spoken Word,"Comedy, Farce","The Garnet H Carroll Management, Aztec Services Pty Ltd, J C Williamson Theatres Limited (1943-1976)",,11,0,See How They Run,,,
17460,Separate Tables / The Sleeping Prince,https://ausstage.edu.au/pages/event/17460,1955,1955,,3066,Auckland,Auckland,O/S,New Zealand,-36.84846,174.763332,Theatre - Spoken Word,"Comedy, Drama",The Garnet H Carroll Management,,22,0,"Separate Tables, The Sleeping Prince",,,
17531,Speaking In Tongues,https://ausstage.edu.au/pages/event/17531,2001,15/11/2001,20/1/2002,3302,Gramercy Theatre,New York,O/S,United States of America,40.7399,-73.984911,Theatre - Spoken Word,,Roundabout Theater Company,,9,1,Speaking in Tongues,,,
17885,The Merry Widow,https://ausstage.edu.au/pages/event/17885,1956,28/4/1956,,3238,His Majesty's Theatre,Auckland,O/S,New Zealand,-36.847928,174.765134,Music Theatre,"Comedy, Drama, Operetta, Romantic","The Australian Light Opera Company, J C Williamson Theatres Limited (1943-1976)",,17,0,The Merry Widow,,,
17949,The Perfectionist,https://ausstage.edu.au/pages/event/17949,1983,16/6/1983,,3352,Hampstead Theatre,Swiss Cottage,O/S,England,51.542675,-0.173787,Theatre - Spoken Word,Drama,Hampstead Theatre,"Careers, Marriage, Parenting",9,0,The Perfectionist,,,
17954,Siren,https://ausstage.edu.au/pages/event/17954,1999,23/11/1999,12/12/1999,3353,The Grace Theatre,London,O/S,England,51.472042,-0.165593,Theatre - Spoken Word,Drama,"Large Beast Productions, Parlour Productions",,11,1,Siren,,,
17996,Money and Friends,https://ausstage.edu.au/pages/event/17996,1994,27/8/1994,8/10/1994,3363,The Court Theatre (1905-2023),Christchurch,O/S,New Zealand,-43.531124,172.628826,Theatre - Spoken Word,"Comedy, Drama, Tragedy",Court Theatre Christchurch,,14,0,Money and Friends,,,
18011,Brilliant Lies,https://ausstage.edu.au/pages/event/18011,1996,22/10/1996,10/11/1996,3369,Rosemary Branch Theatre,Islington,O/S,England,51.537523,-0.086903,Theatre - Spoken Word,"Drama, Thriller",The Rosemary Branch Theatre Company,Social Issues,11,0,Brilliant Lies,,,
18016,The Golden Age,https://ausstage.edu.au/pages/event/18016,1996,1/10/1996,20/10/1996,3369,Rosemary Branch Theatre,Islington,O/S,England,51.537523,-0.086903,Theatre - Spoken Word,Drama,The Rosemary Branch Theatre Company,Colonial,6,0,The Golden Age,,,
18019,The Club,https://ausstage.edu.au/pages/event/18019,1980,4/3/1980,12/4/1980,3370,The Old Vic Theatre,London,O/S,England,51.502249,-0.109663,Theatre - Spoken Word,"Comedy, Drama","Nimrod Street Theatre Company Ltd, Australia Council for the Arts, New South Wales Government, Singapore Airlines Ltd",,10,2,The Club,,,
18029,Players,https://ausstage.edu.au/pages/event/18029,1978,29/8/1978,24/9/1978,3373,Lyceum Theatre,New York,O/S,United States of America,40.757736,-73.98466,Theatre - Spoken Word,Drama,"Eddie Kulukundis, The John F Kennedy Center for The Performing Arts",,11,1,The Club,,,
18030,The Removalists,https://ausstage.edu.au/pages/event/18030,1975,1975,,3363,The Court Theatre (1905-2023),Christchurch,O/S,New Zealand,-43.531124,172.628826,Theatre - Spoken Word,"Black Comedy, Drama",Court Theatre Christchurch,,11,0,The Removalists,,,
18031,The Perfectionist,https://ausstage.edu.au/pages/event/18031,1984,12/5/1984,,3363,The Court Theatre (1905-2023),Christchurch,O/S,New Zealand,-43.531124,172.628826,Theatre - Spoken Word,"Comedy, Drama",Court Theatre Christchurch,"Careers, Heterosexual Relationships, Marriage, Parenting",12,0,The Perfectionist,,,
18032,The Club,https://ausstage.edu.au/pages/event/18032,1979,1979,,3363,The Court Theatre (1905-2023),Christchurch,O/S,New Zealand,-43.531124,172.628826,Theatre - Spoken Word,"Comedy, Drama",Court Theatre Christchurch,,12,0,The Club,,,
18033,Travelling North,https://ausstage.edu.au/pages/event/18033,1999,1999,,3374,Stables Theatre,Ellerslie,O/S,New Zealand,-36.898246,174.810778,Theatre - Spoken Word,"Comedy, Drama, Romantic",Ellerslie Theatrical Society Inc,,15,0,Travelling North,,,
18146,What If You Died Tomorrow?,https://ausstage.edu.au/pages/event/18146,1974,1974-09,1974,14028,Comedy Theatre,London,O/S,England,51.509342,-0.131685,Theatre - Spoken Word,Drama,"The Old Tote Theatre Company, H. M. Tennent Ltd., Michael Linnit, The Australian Elizabethan Theatre Trust",,12,0,What If You Died Tomorrow?,,,
18147,Brilliant Lies,https://ausstage.edu.au/pages/event/18147,1999,18/5/1999,22/5/1999,3403,The Old Fire Station Theatre,Oxford,O/S,England,51.753583,-1.262339,Theatre - Spoken Word,"Drama, Thriller",Broad Street Productions,Sexual Identity,11,0,Brilliant Lies,,,
18148,Travelling North,https://ausstage.edu.au/pages/event/18148,1980,4/6/1980,5/7/1980,665,Lyric Hammersmith,Hammersmith,O/S,England,51.493026,-0.226502,Theatre - Spoken Word,Drama,Lyric Theatre,Ageing,14,1,Travelling North,,,
18153,Sons of Cain,https://ausstage.edu.au/pages/event/18153,1986,19/5/1986,,13446,Wyndham's Theatre,London,O/S,England,51.511052,-0.128221,Theatre - Spoken Word,Comedy,"The Australian Elizabethan Theatre Trust, The Theatre of Comedy Company",Social Issues,14,1,Sons of Cain,,,
18178,The Removalists,https://ausstage.edu.au/pages/event/18178,1973,17/7/1973,,3408,Royal Court Theatre,London,O/S,England,51.492574,-0.156634,Theatre - Spoken Word,"Black Comedy, Drama","The English Stage Company, Harry M. Miller",,11,1,The Removalists,,,
18186,Don's Party,https://ausstage.edu.au/pages/event/18186,1975,4/3/1975,,3408,Royal Court Theatre,London,O/S,England,51.492574,-0.156634,Theatre - Spoken Word,"Comedy, Drama","The English Stage Company, Eddie Kulukundis",Social Issues,16,0,Don's Party,,,
18248,The Removalists,https://ausstage.edu.au/pages/event/18248,1974,1974,,3422,The Phoenix Theatre,New York,O/S,United States of America,43.23130851,-76.30080992,Theatre - Spoken Word,"Black Comedy, Drama",New Phoenix Repertory Company,,12,0,The Removalists,,,
18269,The Club,https://ausstage.edu.au/pages/event/18269,2001,10/7/2001,28/7/2001,3430,The Old Red Lion Theatre,Clerkenwell,O/S,England,51.531466,-0.106071,Theatre - Spoken Word,"Comedy, Drama",John Thomas Productions,,11,1,The Club,,,
18283,Dead White Males,https://ausstage.edu.au/pages/event/18283,1996,8/2/1996,2/3/1996,3435,Nuffield Theatre,Southampton,O/S,England,50.935856,-1.396712,Theatre - Spoken Word,"Comedy, Drama",The Nuffield Theatre,,16,1,Dead White Males,,,
18296,Emerald City,https://ausstage.edu.au/pages/event/18296,1988,16/11/1988,18/12/1988,673,Perry Street Theater,New York,O/S,United States of America,40.735872,-74.002481,Theatre - Spoken Word,"Comedy, Drama",The New York Theatre Workshop,,12,2,Emerald City,,,
18416,Emerald City,https://ausstage.edu.au/pages/event/18416,1990,16/3/1990,15/4/1990,3453,Orange County Performing Arts Center Main and Second Stage,Costa Mesa,O/S,United States of America,33.691951,-117.882994,Theatre - Spoken Word,Drama,South Coast Repertory,,14,3,Emerald City,,,
18473,Always,https://ausstage.edu.au/pages/event/18473,1997,20/5/1997,26/7/1997,3459,Victoria Palace Theatre,London,O/S,England,51.496641,-0.142474,Music Theatre,"Musical, Musical Biography","Always Company UK, Cher International",,17,14,,,,
18892,The Beloved Vagabond,https://ausstage.edu.au/pages/event/18892,1927,1/9/1927,22/10/1927,3504,Duke of York's Theatre,London,O/S,England,51.510191,-0.127083,Music Theatre,Musical,B J Simmons & Co Ltd,,12,6,The Beloved Vagabond,,,
18893,The Beloved Vagabond,https://ausstage.edu.au/pages/event/18893,1927,24/10/1927,3/12/1927,3026,New Theatre,London,O/S,England,51.511111,-0.127222,Music Theatre,Musical,B J Simmons & Co Ltd,,13,3,The Beloved Vagabond,,,
18897,Puppetry of the Penis,https://ausstage.edu.au/pages/event/18897,2001,25/9/2001,3/11/2001,3506,John Houseman Theater,New York,O/S,United States of America,40.758199,-73.992107,Other,Comedy,Johnson Temple Productions,,8,1,Puppetry of the Penis,,,
18899,Prodigal,https://ausstage.edu.au/pages/event/18899,2002,26/2/2002,31/3/2002,3508,St Peters,New York,O/S,United States of America,40.75847,-73.970934,Music Theatre,Musical,York Theater Company,Homosexuality,11,2,Prodigal Son,,,
18900,Cloudstreet,https://ausstage.edu.au/pages/event/18900,2001,2/10/2001,7/10/2001,3509,Harvey Lichtenstein Theater,Fort Greene,O/S,United States of America,40.68828,-73.979001,Theatre - Spoken Word,"Comedy, Drama, Family","Black Swan Theatre Company, Company B Belvoir, Brooklyn Academy of Music, Australia Council for the Arts, The Australia International Cultural Council",,26,17,Cloudstreet,,,
18902,Birdbrain,https://ausstage.edu.au/pages/event/18902,2001,9/10/2001,14/10/2001,3510,The Joyce Theater,New York,O/S,United States of America,40.742772,-74.000559,Dance,"Artist(s) with disability, Contemporary","Australian Dance Theatre, Brooklyn Academy of Music",,2,2,Birdbrain,,,
18981,Crumpled and Corrupted 2,https://ausstage.edu.au/pages/event/18981,2001,10/10/2001,13/10/2001,3509,Harvey Lichtenstein Theater,Fort Greene,O/S,United States of America,40.68828,-73.979001,Dance,Contemporary,"Chunky Move Dance Company, Brooklyn Academy of Music, Australia Council for the Arts, The Australia International Cultural Council",,16,17,Crumpled,,,
18982,Corroboree,https://ausstage.edu.au/pages/event/18982,2001,24/10/2001,27/10/2001,3509,Harvey Lichtenstein Theater,Fort Greene,O/S,United States of America,40.68828,-73.979001,Dance,"Aboriginal and Torres Strait Islander Created, Aboriginal and Torres Strait Islander Produced, Contemporary, Indigenous","Bangarra Dance Theatre, Brooklyn Academy of Music, Australia Council for the Arts, The Australia International Cultural Council",Australian National Identity,21,14,Corroboree,,,
19057,The Theft of Sita,https://ausstage.edu.au/pages/event/19057,2001,17/10/2001,21/10/2001,3509,Harvey Lichtenstein Theater,Fort Greene,O/S,United States of America,40.68828,-73.979001,Other,"Music Theatre, Puppetry","Performing Lines Ltd, Brooklyn Academy of Music, Australia Council for the Arts, The Australia International Cultural Council, Confederation of Australian International Arts Festivals Inc",,9,9,The Theft of Sita,,,
19210,Bad Boy Johnny and the Prophets of Doom,https://ausstage.edu.au/pages/event/19210,1994,1994-01,5/2/1994,3541,Pentecostal Union Chapel,Islington,O/S,England,51.544772,-0.102573,Music Theatre,"Musical, Rock Opera",,Religion,3,2,Bad Boy Johnny and the Prophets of Doom,,,
19256,Emerald City,https://ausstage.edu.au/pages/event/19256,1987,30/12/1987,7/2/1988,3557,Toronto Free Theatre,Toronto,O/S,Canada,43.650678,-79.363901,Theatre - Spoken Word,Drama,Toronto Free Theatre CentreStage Company,,10,7,Emerald City,,,
19258,Emerald City,https://ausstage.edu.au/pages/event/19258,1990,1/11/1990,8/12/1990,3558,Burgess Theatre,Menlo Park,O/S,United States of America,37.453542,-122.175681,Theatre - Spoken Word,"Comedy, Drama",TheatreWorks,,12,4,Emerald City,,,
19259,Up for Grabs,https://ausstage.edu.au/pages/event/19259,2002,9/5/2002,13/7/2002,13446,Wyndham's Theatre,London,O/S,England,51.511052,-0.128221,Theatre - Spoken Word,Drama,"Sonia Friedman Productions, Theatre Royal Bath Productions",,14,5,Up for Grabs,,,
19292,The Shifting Heart,https://ausstage.edu.au/pages/event/19292,1959,14/9/1959,1959,3504,Duke of York's Theatre,London,O/S,England,51.510191,-0.127083,Theatre - Spoken Word,Drama,"The Australian Elizabethan Theatre Trust, The St. James Players",Racism,14,6,The Shifting Heart,,,
19296,The Shifting Heart,https://ausstage.edu.au/pages/event/19296,1959,31/8/1959,,3031,The Golders Green Hippodrome,Barnet,O/S,England,51.571709,-0.193398,Theatre - Spoken Word,Drama,"The Australian Elizabethan Theatre Trust, The St. James Players",Racism,14,0,The Shifting Heart,,,
19299,The Shifting Heart,https://ausstage.edu.au/pages/event/19299,1962,1962,,3561,St Andrew's Hall,Auckland,O/S,New Zealand,-36.850291,174.772715,Theatre - Spoken Word,Drama,"Grafton Theatre Inc., Auckland Festival Society Inc.",Racism,12,0,The Shifting Heart,,,
19302,Frenzy,https://ausstage.edu.au/pages/event/19302,1952,1952,,3562,St Martin's Theatre,Camden,O/S,England,51.512792,-0.1277,Theatre - Spoken Word,Drama,"Sherek Players Ltd., The Arts Council of Great Britain",,16,1,,,,
19303,"To Dorothy, a Son",https://ausstage.edu.au/pages/event/19303,1952,1952,,3564,Garrick Theatre,Westminster,O/S,England,51.510098,-0.128038,Theatre - Spoken Word,"Comedy, Farce",Jack De Leon Ltd.,,13,1,"To Dorothy, a Son",,,
19388,Our Country's Good,https://ausstage.edu.au/pages/event/19388,2001,15/5/2001,18/5/2001,3577,Guildhall School of Music and Drama,Barbican,O/S,England,51.519782,-0.091922,Theatre - Spoken Word,"Drama, Historical",Guildhall School of Music and Drama,,19,0,"Our Country's Good, The Playmaker",,,
19389,Our Country's Good,https://ausstage.edu.au/pages/event/19389,1998,2/9/1998,5/9/1998,3578,"Theatre Royal, Bath",Bath,O/S,England,51.382046,-2.362661,Theatre - Spoken Word,"Drama, Historical","Out of Joint Theatre Company, Young Vic Theatre",,18,0,"Our Country's Good, The Playmaker",,,
19391,Our Country's Good,https://ausstage.edu.au/pages/event/19391,1998,10/9/1998,,3579,Young Vic Theatre,Bankside,O/S,England,51.503144,-0.107511,Theatre - Spoken Word,"Drama, Historical","Out of Joint Theatre Company, Young Vic Theatre",,18,0,"Our Country's Good, The Playmaker",,,
19393,Our Country's Good,https://ausstage.edu.au/pages/event/19393,1998,3/11/1998,7/11/1998,3580,Everyman Theatre,Liverpool,O/S,England,53.403051,-2.969385,Theatre - Spoken Word,"Drama, Historical","Out of Joint Theatre Company, Young Vic Theatre",,18,0,"Our Country's Good, The Playmaker",,,
19395,Our Country's Good,https://ausstage.edu.au/pages/event/19395,1998,10/11/1998,14/11/1998,3581,The Oxford Playhouse,Oxford,O/S,England,51.75491,-1.260858,Theatre - Spoken Word,"Drama, Historical","Out of Joint Theatre Company, Young Vic Theatre",,18,0,"Our Country's Good, The Playmaker",,,
19397,Our Country's Good,https://ausstage.edu.au/pages/event/19397,1998,17/11/1998,21/11/1998,3583,West Yorkshire Playhouse,Leeds,O/S,England,53.798042,-1.534456,Theatre - Spoken Word,"Drama, Historical","Out of Joint Theatre Company, Young Vic Theatre",,18,0,"Our Country's Good, The Playmaker",,,
19399,Our Country's Good,https://ausstage.edu.au/pages/event/19399,1998,24/11/1998,28/11/1998,3584,"Theatre Royal, Bury Saint Edmunds",Bury Saint Edmunds,O/S,England,52.24064,0.717143,Theatre - Spoken Word,"Drama, Historical","Out of Joint Theatre Company, Young Vic Theatre",,18,0,"Our Country's Good, The Playmaker",,,
19403,Our Country's Good,https://ausstage.edu.au/pages/event/19403,1998,1/12/1998,5/12/1998,3585,Blackpool Grand Theatre,Blackpool,O/S,England,53.817293,-3.053685,Theatre - Spoken Word,"Drama, Historical","Out of Joint Theatre Company, Young Vic Theatre",,18,0,"Our Country's Good, The Playmaker",,,
19405,Our Country's Good,https://ausstage.edu.au/pages/event/19405,1998,7/12/1998,9/12/1998,3586,Devonshire Park Theatre,Eastbourne,O/S,England,50.763219,0.285191,Theatre - Spoken Word,"Drama, Historical","Out of Joint Theatre Company, Young Vic Theatre",,18,0,"Our Country's Good, The Playmaker",,,
19491,Our Country's Good,https://ausstage.edu.au/pages/event/19491,1992,15/2/1992,22/2/1992,3595,Tower Theatre,Islington,O/S,England,51.544268,-0.098725,Theatre - Spoken Word,"Drama, Historical",Tavistock Repertory Company,,21,0,"Our Country's Good, The Playmaker",,,
19492,Our Country's Good,https://ausstage.edu.au/pages/event/19492,1999,15/6/1999,19/6/1999,3596,Richmond Theatre,Richmond,O/S,England,51.46212,-0.303866,Theatre - Spoken Word,"Drama, Historical",Out of Joint Theatre Company,,3,0,"Our Country's Good, The Playmaker",,,
19493,Our Country's Good,https://ausstage.edu.au/pages/event/19493,1995,14/9/1995,7/10/1995,3082,Royal Lyceum Theatre,Edinburgh,O/S,Scotland,55.946856,-3.204413,Theatre - Spoken Word,"Drama, Historical",Royal Lyceum Theatre Company,,15,4,"Our Country's Good, The Playmaker",,,
19497,Our Country's Good,https://ausstage.edu.au/pages/event/19497,1995,22/9/1995,14/10/1995,3599,Emlyn Williams Theatre,Clwyd,O/S,Wales,53.178943,-3.136781,Theatre - Spoken Word,"Drama, Historical",Theatr Clwyd Company,,15,0,"Our Country's Good, The Playmaker",,,
19501,Our Country's Good,https://ausstage.edu.au/pages/event/19501,1991,5/4/1991,27/4/1991,3601,Library Theatre,Manchester,O/S,England,53.477835,-2.244613,Theatre - Spoken Word,"Drama, Historical",Library Theatre Company,,16,0,"Our Country's Good, The Playmaker",,,
19516,Our Country's Good,https://ausstage.edu.au/pages/event/19516,1989,1/7/1989,,3363,The Court Theatre (1905-2023),Christchurch,O/S,New Zealand,-43.531124,172.628826,Theatre - Spoken Word,"Drama, Historical","Court Theatre Christchurch, New Zealand Army, QANTAS",,22,0,"Our Country's Good, The Playmaker",,,
19520,Our Country's Good,https://ausstage.edu.au/pages/event/19520,1989,29/11/1989,,3564,Garrick Theatre,Westminster,O/S,England,51.510098,-0.128038,Theatre - Spoken Word,,"Diana Bliss, Frank and Woji Gero, The Royal Court Theatre",,19,0,"Our Country's Good, The Playmaker",,,
19523,Our Country's Good,https://ausstage.edu.au/pages/event/19523,1988,1/9/1988,8/10/1988,3408,Royal Court Theatre,London,O/S,England,51.492574,-0.156634,Theatre - Spoken Word,"Drama, Historical",The Royal Court Theatre,,17,0,"Our Country's Good, The Playmaker",,,
19526,The Recruiting Officer,https://ausstage.edu.au/pages/event/19526,1988,21/7/1988,8/10/1988,3408,Royal Court Theatre,London,O/S,England,51.492574,-0.156634,Theatre - Spoken Word,"Comedy, Drama, Military",The Royal Court Theatre,,14,0,The Recruiting Officer,,,
19617,Our Country's Good,https://ausstage.edu.au/pages/event/19617,1989,8/8/1989,30/9/1989,3408,Royal Court Theatre,London,O/S,England,51.492574,-0.156634,Theatre - Spoken Word,"Drama, Historical",The Royal Court Theatre,,16,1,"Our Country's Good, The Playmaker",,,
19619,The Recruiting Officer,https://ausstage.edu.au/pages/event/19619,1989,3/8/1989,30/9/1989,3408,Royal Court Theatre,London,O/S,England,51.492574,-0.156634,Theatre - Spoken Word,"Comedy, Drama, Military",The Royal Court Theatre,,15,1,The Recruiting Officer,,,
19622,The Recruiting Officer,https://ausstage.edu.au/pages/event/19622,1989,9/11/1989,11/11/1989,3619,Warwick Arts Centre,Coventry,O/S,England,52.379561,-1.56097,Theatre - Spoken Word,"Comedy, Drama, Military","The Royal Court Theatre, Diana Bliss",,15,0,The Recruiting Officer,,,
